# Number Element AtomicNumber group  priority  scatter_snr50  pipeline_snr50 repeat_snr50  scatter_snr70  pipeline_snr70  repeat_snr70
1  C     6             CN             1         0.017          0.022          0.026         0.024          0.019           0.022
2  N     7             CN             1         0.072          0.024          0.037         0.073          0.021           0.031
3  O     8             alpha          1         0.021          0.020          0.021         0.023          0.018           0.018
4  Mg    12            alpha          1         0.052          0.023          0.034         0.053          0.020           0.028
5  Si    14            alpha          2         0.051          0.027          0.032         0.053          0.024           0.027
6  S     16            alpha          3         0.117          0.108          0.150         0.113          0.091           0.127
7  Ca    20            alpha          1         0.053          0.032          0.036         0.036          0.027           0.030
8  Ti    22            alpha          2         0.489          0.038          0.049         0.271          0.033           0.042
9  Na    11            Odd-Z          3         0.122          0.114          0.174         0.112          0.092           0.147
10 Al    13            Odd-Z          1         0.084          0.049          0.051         0.063          0.042           0.043
11 K     19            Odd-Z          3         0.077          0.070          0.097         0.067          0.063           0.082
12 V     23            Fe-peak        2         0.068          0.102          0.120         0.051          0.088           0.101
13 Cr    24            Fe-peak        2         0.062          0.078          0.102         0.051          0.064           0.086
14 Mn    25            Fe-peak        1         0.187          0.035          0.046         0.103          0.030           0.039
15 Co    27            Fe-peak        2         0.107          0.094          0.087         0.069          0.075           0.074
16 Ni    28            Fe-peak        1         0.038          0.030          0.040         0.032          0.026           0.034
17 Ce    58            n-capture      1         0.429          0.088          0.090         0.211          0.074           0.076
